epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6979166865348816,0.5212880373001099,0.619937539100647,0.6456692814826965,0.5070460438728333,0.6598204970359802
1,0.6541666388511658,0.486000657081604,0.6533494591712952,0.65625,0.44778138399124146,0.6631977558135986
2,0.6937500238418579,0.5537170171737671,0.6133129000663757,0.6535432934761047,0.47699886560440063,0.6659140586853027
3,0.6583333611488342,0.5302929878234863,0.6397665143013,0.6456692814826965,0.549593448638916,0.6604394316673279
4,0.6708333492279053,0.5057308673858643,0.6423090100288391,0.6328125,0.49816131591796875,0.6609769463539124
5,0.6854166388511658,0.46017172932624817,0.6375595927238464,0.6377952694892883,0.5670960545539856,0.654061496257782
6,0.6625000238418579,0.4656047523021698,0.6499967575073242,0.6614173054695129,0.5325304269790649,0.64041668176651
7,0.6895833611488342,0.4790811240673065,0.6285536885261536,0.6640625,0.49316006898880005,0.6397739052772522
8,0.6729166507720947,0.5614392161369324,0.6290367841720581,0.6850393414497375,0.48764368891716003,0.6248275637626648
9,0.6979166865348816,0.5099707245826721,0.6151461005210876,0.6614173054695129,0.4925249218940735,0.6411189436912537
10,0.6625000238418579,0.5495628714561462,0.6361997127532959,0.640625,0.5349947214126587,0.6560404300689697
11,0.668749988079071,0.4622606039047241,0.6468574404716492,0.6850393414497375,0.5228448510169983,0.6228880286216736
12,0.668749988079071,0.5286285281181335,0.6339162588119507,0.6535432934761047,0.5580503940582275,0.6484615206718445
13,0.6937500238418579,0.5100406408309937,0.618475079536438,0.671875,0.50844407081604,0.6333400011062622
14,0.65625,0.4588744044303894,0.6591131687164307,0.6771653294563293,0.5134713649749756,0.629711389541626
